,GRAPH_IDX,NUM_NODES,LOG_NUM_EDGES,IS_CONNECTED,LOGRATIO_EDGETONODES,DENSITY,LOG_CHROMATIC_NUM,NORM_MIS,GRAPH_ASSORTATIVITY,SPECTRAL_GAP,LOG_LARGESTEIGVAL,LOG_SECONDLARGESTEIGVAL,LOG_SMALLESTEIGVAL,MIN_ECC,MAX_ECC,LOGRATIO_MAXMINECC,GIRTH,LOG_KEMENY_CONSTANT,TRANSITIVITY,CALCULATED_RATIO,percent_cut,percent_positive_lower_triangular,percent_close1_lower_triangular,percent_close3_lower_triangular,expected_costGW_over_sdp_cost,std_costGW_over_sdp_cost
0,graph_0,100,7.366445148327599,0,-2.608234936947386,0.3195959595959596,3.828641396489095,0.54,-0.55392508,0.27493345376569245,(0.44969974226203163+0j),(0.2568938710685778+0j),(-23.025850929940457+0j),0,0,0.0,3,0.0,0.7971474042101709,0.9416666666666668,0.6069848577212061,0.2365,0.9711,0.9429,0.9445654335588571,0.047923888515799366
1,graph_1,100,7.261927092702751,0,-2.622524952608069,0.2878787878787879,3.713572066704308,0.59,-0.57444724,0.30189158361481816,(0.47198940723984306+0j),(0.2633551717538414+0j),(-23.025850929940457+0j),0,0,0.0,3,0.0,0.7544080248657813,0.9455555555555556,0.631579085978836,0.2349,0.969,0.9553,0.9368664610558723,0.05668638499566882
2,graph_2,100,7.306531398939505,0,-2.6164015256666158,0.301010101010101,3.784189633918261,0.57,-0.57825202,0.30018095971857517,(0.4695329430541408+0j),(0.26164563676526237+0j),(-23.025850929940457+0j),0,0,0.0,3,0.0,0.7622370243355536,0.9472551130247578,0.6234899865470672,0.249,0.9788,0.9549,0.9323034719672276,0.056652278761568274
3,graph_3,100,7.343426229147367,0,-2.6113646635614516,0.31232323232323234,3.8501476017100584,0.54,-0.54636579,0.3070432656988995,(0.4531123589873857+0j),(0.23598686110885092+0j),(-23.025850929940457+0j),0,0,0.0,3,0.0,0.81851118664326,0.9545454545454546,0.5978331454477385,0.2374,0.9762,0.9531,0.9350164565032557,0.05055412680577276
4,graph_4,100,7.350516171833998,0,-2.6103996477687708,0.3145454545454546,3.8501476017100584,0.53,-0.54539953,0.3010084062595244,(0.4485586716254385+0j),(0.23510765879909595+0j),(-23.025850929940457+0j),0,0,0.0,3,0.0,0.8171836297090466,0.9548387096774194,0.5974632716957048,0.2357,0.9668,0.9375,0.9462625131362344,0.048190154905905204
5,graph_5,100,8.461469042643875,1,-2.4696473817420435,0.9553535353535354,4.465908118654584,0.14,-0.16623528,0.1159377809942923,(0.1626252014145746+0j),(0.058889319090674325+0j),(-0.08006507654630009+0j),1,2,0.6931471805599453,3,4.585490460259204,0.9647018459716915,0.96,0.5286530115171524,0.25,0.8815,0.6551,0.9557527650329771,0.04882632893959903
6,graph_6,100,7.4133673356952405,1,-2.6018854186348004,0.33494949494949494,3.784189633918261,0.57,-0.57782432,0.26463356059533805,(0.4641222514371842+0j),(0.2821547146335851+0j),(-0.6672915538491343+0j),2,2,0.0,3,4.596083381344823,0.7336263736263736,0.9605263157894736,0.641887803038498,0.248,0.9709,0.9607,0.9479333064481396,0.06579197690276706
7,graph_7,100,8.475746001502063,1,-2.467961512819388,0.9690909090909091,4.454347296253507,0.15,-0.16871918,0.13314439420319002,(0.15667933952938662+0j),(0.03582660245769115+0j),(-0.03577266383445614+0j),1,2,0.6931471805599453,3,4.585346671971785,0.9730220702680961,0.9609467455621302,0.5211590604462757,0.2557,0.8287,0.5524,0.9801047949188292,0.020149431077584837
8,graph_8,100,8.470520783217808,1,-2.4685781935923545,0.964040404040404,4.477336814478207,0.13,-0.15294976,0.11422711699395416,(0.1499299594187832+0j),(0.046430957751484925+0j),(-0.07220744217863866+0j),1,2,0.6931471805599453,3,4.585408757517229,0.9707667763353877,0.9613259668508288,0.5238893108435092,0.2499,0.8648,0.6361,0.961235280226532,0.039970256787279446
9,graph_9,100,7.315883504509785,0,-2.6151223789720097,0.30383838383838385,3.7376696182833684,0.58,-0.57027757,0.2904489428920558,(0.4619795088016861+0j),(0.25987180402741467+0j),(-23.025850929940457+0j),0,0,0.0,3,0.0,0.7478051839464883,0.9623430962343096,0.6356384605629865,0.2438,0.9807,0.9622,0.9452644024124925,0.07238712614565726
