,GRAPH_IDX,NUM_NODES,LOG_NUM_EDGES,IS_CONNECTED,LOGRATIO_EDGETONODES,DENSITY,LOG_CHROMATIC_NUM,NORM_MIS,GRAPH_ASSORTATIVITY,SPECTRAL_GAP,LOG_LARGESTEIGVAL,LOG_SECONDLARGESTEIGVAL,LOG_SMALLESTEIGVAL,MIN_ECC,MAX_ECC,LOGRATIO_MAXMINECC,GIRTH,LOG_KEMENY_CONSTANT,TRANSITIVITY,CALCULATED_RATIO,percent_cut,percent_positive_lower_triangular,percent_close1_lower_triangular,percent_close3_lower_triangular,expected_costGW_over_sdp_cost,std_costGW_over_sdp_cost
487,graph_487,100,7.965198290612176,1,-2.53008834769275,0.5816161616161616,3.912023005428146,0.51,-0.55792836,0.3585989611595488,(0.4464774138086473+0j),(0.18581414091277515+0j),(-0.26672930548680296+0j),1,2,0.6931471805599453,3,4.588983349562201,0.7006084255637028,1.0621526023244063,0.7302018375768127,0.2651,0.99,0.9742,0.9943574340677456,0.054767229443463385
488,graph_488,100,7.48324441607385,1,-2.5925037425776587,0.3591919191919192,3.6635616461296463,0.61,-0.60824196,0.3122679916026285,(0.48461335184064286+0j),(0.27100311449667497+0j),(-0.5618622471799412+0j),1,2,0.6931471805599453,3,4.594054769804519,0.6202440775305097,1.0612076095947065,0.7221596260950283,0.2455,0.9887,0.9778,0.9879082418757368,0.06709268749593712
489,graph_489,100,7.763021309018518,1,-2.555798583621965,0.47515151515151516,3.784189633918261,0.57,-0.58349051,0.29732838759894453,(0.46340734992543337+0j),(0.2563092759670359+0j),(-0.3634248388581461+0j),1,2,0.6931471805599453,3,4.590883732261355,0.6674761964961775,1.061101028433152,0.7457482659021614,0.235,0.99,0.9896,0.9999778099181142,0.0005322294399630344
490,graph_490,100,7.776535028185241,1,-2.554059316131939,0.4816161616161616,3.8918202981106265,0.52,-0.57653378,0.35217091363332376,(0.4584357493193247+0j),(0.20654830443195+0j),(-0.39214409270550854+0j),1,2,0.6931471805599453,3,4.591012374783517,0.6706367384333486,1.0605504587155965,0.7273489997572651,0.2521,0.99,0.9896,0.9998875343601007,0.0035544160268772018
491,graph_491,100,8.052296499538647,1,-2.5192128557962685,0.6345454545454545,3.970291913552122,0.47,-0.49107828,0.27426296514645676,(0.4016619689132864+0j),(0.19888623535142838+0j),(-0.27886665130668525+0j),1,2,0.6931471805599453,3,4.588664670625644,0.7602407812398502,1.059850374064838,0.6765361152897169,0.2408,0.99,0.9887,0.9999873232349246,0.00017750037311966635
492,graph_492,100,7.73718007783463,1,-2.5591328958002473,0.463030303030303,3.828641396489095,0.54,-0.57108964,0.2774358293990169,(0.45425161161576827+0j),(0.2604843485856035+0j),(-0.43043071069829864+0j),1,2,0.6931471805599453,3,4.591529033792601,0.6747359338686558,1.0594629156010231,0.7229494404752622,0.2452,0.99,0.99,0.9996100678796277,0.00950678011146327
493,graph_493,100,8.232971790593437,1,-2.4970231440601047,0.7602020202020202,4.1588830833596715,0.36,-0.41211956,0.26977865453297256,(0.34742839903384876+0j),(0.13596719210647376+0j),(-0.1920695933088856+0j),1,2,0.6931471805599453,3,4.5872508561055305,0.8303197794353597,1.059449866903283,0.6345998650279789,0.251,0.9899,0.9843,0.9970894915575238,0.04425676751958646
494,graph_494,100,7.96693349840484,1,-2.5298705227560117,0.5826262626262626,4.007333185232471,0.46,-0.49925469,0.26343761621266726,(0.40518730125858565+0j),(0.21199825774058553+0j),(-0.3568336688574658+0j),1,2,0.6931471805599453,3,4.589671853888114,0.7508932498480363,1.0592391304347826,0.6758842802697604,0.2523,0.9898,0.9799,0.9897271968280581,0.07436524097053807
495,graph_495,100,7.68937110752969,1,-2.5653311863700576,0.4414141414141414,3.8066624897703196,0.55,-0.57766088,0.2908245859827323,(0.4590085548884952+0j),(0.2559434294847485+0j),(-0.44365629197685386+0j),1,2,0.6931471805599453,3,4.591954749311675,0.6630906100478469,1.0589417280643,0.7236841666199948,0.2515,0.99,0.9767,0.9906429059526548,0.06857506273939785
496,graph_496,100,8.101677747454572,1,-2.513099016442634,0.6666666666666666,4.07753744390572,0.4,-0.47832245,0.3059520038311714,(0.3911495676039036+0j),(0.15933236506434184+0j),(-0.3018688737320119+0j),1,2,0.6931471805599453,3,4.588368675486495,0.7760574473386002,1.0583173996175907,0.6709090287489023,0.2672,0.99,0.9884,0.9998632362694527,0.004143998965302477
497,graph_497,100,8.213923595622743,1,-2.4993394722229727,0.7458585858585859,4.1588830833596715,0.37,-0.40904167,0.26379231586379537,(0.3459803671159766+0j),(0.13939887739386422+0j),(-0.20623695977712814+0j),1,2,0.6931471805599453,3,4.587465866934591,0.8287279954379655,1.058160504959423,0.635766323205117,0.2622,0.99,0.9801,0.9968715443298107,0.047632280392605954
498,graph_498,100,7.229113877793302,1,-2.627053719183051,0.2785858585858586,3.6635616461296463,0.62,-0.59966789,0.3108081369559377,(0.49707038337428167+0j),(0.28749961640466815+0j),(-0.8024784481160622+0j),1,2,0.6931471805599453,3,4.598284143020585,0.6819308391360793,1.0580865603644647,0.6736769244663865,0.235,0.99,0.9828,0.999848784965835,0.0032160458684346066
499,graph_499,100,8.201934351194222,1,-2.500800163049985,0.7369696969696969,4.127134385045092,0.39,-0.41220898,0.23147276015449036,(0.3480742456089451+0j),(0.16962854233697122+0j),(-0.24454203104432454+0j),1,2,0.6931471805599453,3,4.587589334112001,0.8266271111279172,1.0578168362627196,0.6286321292964293,0.2627,0.9789,0.9698,0.9698598027070328,0.10820126023788632
500,graph_500,100,8.01102337918644,1,-2.524351670373845,0.6088888888888889,3.912023005428146,0.49,-0.55665374,0.4191973392779411,(0.4452066929230154+0j),(0.13244430510816474+0j),(-0.2719850057365844+0j),1,2,0.6931471805599453,3,4.588554226857256,0.7061392066129321,1.35239852398524,0.7295951843195773,0.2513,0.99,0.99,0.9999350224890208,0.0012337579277916174
501,graph_501,100,8.045588280803528,1,-2.5200462844379747,0.6303030303030303,3.9889840465642745,0.45,-0.53008168,0.3937915776337315,(0.42693061625958517+0j),(0.12993533784235506+0j),(-0.29274498568408+0j),1,2,0.6931471805599453,3,4.588509936038566,0.7312508174565113,1.2988843217850852,0.7089743400508569,0.2609,0.99,0.9896,0.9993363738707709,0.01266609657508055
