Unnamed: 0,GRAPH_IDX,NUM_NODES,LOG_NUM_EDGES,IS_CONNECTED,LOGRATIO_EDGETONODES,DENSITY,LOG_CHROMATIC_NUM,NORM_MIS,GRAPH_ASSORTATIVITY,SPECTRAL_GAP,LOG_LARGESTEIGVAL,LOG_SECONDLARGESTEIGVAL,LOG_SMALLESTEIGVAL,MIN_ECC,MAX_ECC,LOGRATIO_MAXMINECC,GIRTH,TRANSITIVITY,CALCULATED_RATIO,percent_cut,percent_positive_lower_triangular,percent_close1_lower_triangular,percent_close3_lower_triangular,expected_costGW_over_sdp_cost,std_costGW_over_sdp_cost
0,graph_0,100,8.158802490694002,1,-2.506072781372859,0.7058585858585859,4.07753744390572,0.4,-0.47715601,0.3562113074334128,(0.39076602502910585+0j),(0.11502485684931624+0j),(-0.23671645753572634+0j),1,2,0.6931471805599453,3,0.7838628670450624,0.6860759493670886,0.6783056584254583,0.2549,0.99,0.99,0.9998012782513056,0.0046150224128006
1,graph_1,100,8.09162741160107,1,-2.514340311786019,0.66,3.970291913552122,0.47,-0.51160075,0.3623444650310754,(0.4144774444796949+0j),(0.14083540044317744+0j),(-0.2561784483608858+0j),1,2,0.6931471805599453,3,0.7498352922038309,0.7637001315212626,0.6981940084880114,0.2567,0.9899,0.9837,0.9989878010053796,0.018749189274426
2,graph_2,100,8.096512917501594,1,-2.513736721015304,0.6632323232323233,4.02535169073515,0.44,-0.49875385,0.3455111205998273,(0.40526135996572654+0j),(0.14339298417360183+0j),(-0.29642614061635053+0j),1,2,0.6931471805599453,3,0.7614662581151113,0.771797153024911,0.684739321696976,0.2505,0.9899,0.9855,0.9986435968747276,0.0189312199465373
3,graph_3,100,8.14757773620177,1,-2.5074495131930408,0.697979797979798,4.060443010546419,0.4,-0.47793755,0.3514584024781684,(0.3912243962737233+0j),(0.11985369812499667+0j),(-0.24906264582187895+0j),1,2,0.6931471805599453,3,0.7810251445616054,0.7792485055508113,0.6778581612906496,0.2551,0.9899,0.98,0.998502584398732,0.0278505782110236
4,graph_4,100,8.063377822367027,1,-2.517837632600082,0.6416161616161616,3.951243718581428,0.49,-0.53103412,0.3815082883292353,(0.42778673729109323+0j),(0.1418038934293861+0j),(-0.2602979117586937+0j),1,2,0.6931471805599453,3,0.7323671497584541,0.7796985815602837,0.7103274775131615,0.241,0.99,0.9891,0.9998878242136048,0.0035445748915433
5,graph_5,100,8.10530751550515,1,-2.512651090063684,0.6690909090909091,3.951243718581428,0.49,-0.51986962,0.3761608193021968,(0.4204131959974664+0j),(0.1366525346347179+0j),(-0.21061092971288992+0j),1,2,0.6931471805599453,3,0.7482478863390757,0.7853470437017995,0.7047101827378573,0.2594,0.99,0.9892,0.999992234264434,0.0002437554722061
6,graph_6,100,8.10530751550515,1,-2.512651090063684,0.6690909090909091,4.02535169073515,0.45,-0.49759247,0.3432773909193787,(0.40443238103018897+0j),(0.1442512573323303+0j),(-0.28841302300510074+0j),1,2,0.6931471805599453,3,0.763208784724022,0.794973544973545,0.6847831534324318,0.2586,0.9899,0.9811,0.9996958537832966,0.0058650987638986
7,graph_7,100,8.15478757276852,1,-2.506564998964563,0.703030303030303,4.0943445622221,0.4,-0.47396329,0.35281799203619,(0.38818947437474227+0j),(0.11465914769265595+0j),(-0.28154377157639376+0j),1,2,0.6931471805599453,3,0.7882251216619184,0.7960834397616007,0.6750000532871082,0.2455,0.99,0.9885,0.9995371709862452,0.0095668946828797
8,graph_8,100,8.130647968160584,1,-2.509529564723558,0.6862626262626262,4.04305126783455,0.43,-0.49415103,0.3597526870867265,(0.4024598360201364+0j),(0.1272898549679351+0j),(-0.24332441378111253+0j),1,2,0.6931471805599453,3,0.7683529655204127,0.7988013698630136,0.6876655963423561,0.2576,0.99,0.9899,0.9999999868257776,0.0
9,graph_9,100,8.134174272137903,1,-2.509095953586532,0.6886868686868687,4.060443010546419,0.42,-0.48401431,0.3398771352272405,(0.39518790740508836+0j),(0.1352177275597984+0j),(-0.2700399409384324+0j),1,2,0.6931471805599453,3,0.7760536888169918,0.8042259594652867,0.6802581993219929,0.2564,0.99,0.9895,0.9997256569929291,0.0052174718743615
10,graph_10,100,8.11102783819368,1,-2.511945588752688,0.6729292929292929,3.9889840465642745,0.45,-0.50437616,0.3670327338667685,(0.4095061027992303+0j),(0.13018669954263576+0j),(-0.24883283233159226+0j),1,2,0.6931471805599453,3,0.7583108644246446,0.8069948186528497,0.6952866923594414,0.251,0.99,0.99,0.9996878358126244,0.0069242893679078
11,graph_11,100,8.155362120328135,1,-2.506494546201018,0.7034343434343434,4.060443010546419,0.43,-0.47514951,0.3432789357473864,(0.3890817932297697+0j),(0.12429185773430285+0j),(-0.27125515559813673+0j),1,2,0.6931471805599453,3,0.7867476328466749,0.8072186836518047,0.6763354825952957,0.2501,0.99,0.9897,0.9999999361372356,0.0
12,graph_12,100,8.151333337900432,1,-2.506988672373914,0.7006060606060606,4.04305126783455,0.4,-0.47898133,0.3395867808966675,(0.39214268340549496+0j),(0.13152121818515483+0j),(-0.23021029907335228+0j),1,2,0.6931471805599453,3,0.7803147383124795,0.8074798130046749,0.6784892371445018,0.2521,0.9899,0.982,0.9990647370223652,0.0207253450874327
13,graph_13,100,8.130942302231878,1,-2.5094933648111963,0.6864646464646464,4.04305126783455,0.43,-0.47896892,0.3227642186735107,(0.3916628334665137+0j),(0.14554915659744322+0j),(-0.2763498797505528+0j),1,2,0.6931471805599453,3,0.7782706631311949,0.8124180148666376,0.6731195952794372,0.2652,0.9898,0.9892,0.9994673169842636,0.0069772683127944
14,graph_14,100,8.116715624819111,1,-2.5112445933405643,0.6767676767676768,4.007333185232471,0.43,-0.50195364,0.361288271491055,(0.4078415857527855+0j),(0.13302686393059876+0j),(-0.24741242833186014+0j),1,2,0.6931471805599453,3,0.7609947951316871,0.8176344086021505,0.6940298507985823,0.2514,0.99,0.99,0.9999999999246234,0.0
15,graph_15,100,8.183676582620658,1,-2.5030286763722405,0.7236363636363636,4.143134726391533,0.38,-0.45558431,0.3409318375055659,(0.3756029700563387+0j),(0.10879804271279049+0j),(-0.2648569816400692+0j),1,2,0.6931471805599453,3,0.8032321004411266,0.8257034859302814,0.6647124959947817,0.2619,0.99,0.9899,0.999811776302785,0.0059205301251568
16,graph_16,100,7.716460800176355,1,-2.5618143726427176,0.4535353535353535,3.6635616461296463,0.62,-0.60875587,0.3166977603970153,(0.4810750895300919+0j),(0.263221589739013+0j),(-0.4181369074714793+0j),1,2,0.6931471805599453,3,0.6263150412283196,0.8464264619019493,0.7541202752456156,0.2536,0.99,0.9899,0.9997211943760136,0.0062421342419912
17,graph_17,100,7.608374474380783,1,-2.5759206408232016,0.4070707070707071,3.6635616461296463,0.62,-0.62181407,0.3385771384001952,(0.49145135579453386+0j),(0.2593673730205589+0j),(-0.4338562942982245+0j),1,2,0.6931471805599453,3,0.5985043643548508,0.8546284224250326,0.7612899358353945,0.2553,0.9899,0.9801,0.9957762555411676,0.0437157979578602
18,graph_18,100,7.691656822810547,1,-2.5650339740760506,0.4424242424242424,3.58351893845611,0.65,-0.61152496,0.3375946255257112,(0.4831220957140044+0j),(0.24961658789194754+0j),(-0.3788654313922128+0j),1,2,0.6931471805599453,3,0.6220549158547387,0.8646525679758308,0.755707805120963,0.2322,0.9899,0.9811,0.999230155200515,0.0163704394977846
