,GRAPH_IDX,NUM_NODES,LOG_NUM_EDGES,IS_CONNECTED,LOGRATIO_EDGETONODES,DENSITY,LOG_CHROMATIC_NUM,NORM_MIS,GRAPH_ASSORTATIVITY,SPECTRAL_GAP,LOG_LARGESTEIGVAL,LOG_SECONDLARGESTEIGVAL,LOG_SMALLESTEIGVAL,MIN_ECC,MAX_ECC,LOGRATIO_MAXMINECC,GIRTH,LOG_KEMENY_CONSTANT,TRANSITIVITY,CALCULATED_RATIO,percent_cut,percent_positive_lower_triangular,percent_close1_lower_triangular,percent_close3_lower_triangular,expected_costGW_over_sdp_cost,std_costGW_over_sdp_cost
1008,graph_1008,20,3.970291913552122,1,-1.6168926516960842,0.2789473684210526,1.3862943611198906,0.8,-0.89156849,0.7306939962149988,(0.6380976062804578+0j),(0.15029966794431138+0j),(-0.11394222656490881+0j),1,2,0.6931471805599453,3,2.9155755655493305,0.2757352941176471,1.3888888888888888,0.9433930846753309,0.3125,0.95,0.8675,0.999283327857456,0.015397505612504605
1009,graph_1009,20,3.970291913552122,1,-1.6168926516960842,0.2789473684210526,1.3862943611198906,0.8,-0.89156849,0.7306939962149988,(0.6380976062804578+0j),(0.15029966794431138+0j),(-0.11394222656490881+0j),1,2,0.6931471805599453,3,2.9155755655493305,0.2757352941176471,1.3888888888888888,0.9433930846753309,0.3125,0.95,0.8675,0.9987633261257234,0.021523602987632156
1010,graph_1010,20,4.430816798843313,1,-1.5071483275212576,0.4421052631578947,1.791759469228055,0.7,-0.78630562,0.6543057644267358,(0.5807066016741664+0j),(0.12486468375383691+0j),(-0.0814169762465283+0j),1,2,0.6931471805599453,3,2.911096746179011,0.4760935910478128,1.15625,0.8809552693669612,0.2575,0.95,0.88,0.9993886151555894,0.01188090656039188
1011,graph_1011,20,4.430816798843313,1,-1.5071483275212576,0.4421052631578947,1.791759469228055,0.7,-0.78630562,0.6543057644267363,(0.5807066016741663+0j),(0.12486468375383633+0j),(-0.08141697624652794+0j),1,2,0.6931471805599453,3,2.911096746179011,0.4760935910478128,1.15625,0.8809552693678165,0.2475,0.95,0.8675,0.9989967245476353,0.020109767615181358
1012,graph_1012,20,4.204692619390966,1,-1.559531081637799,0.3526315789473684,1.791759469228055,0.7,-0.79785951,0.5582545737596816,(0.5947621570580738+0j),(0.22661368810985286+0j),(-0.2385159454363861+0j),1,2,0.6931471805599453,3,2.9200439296550473,0.38873239436619716,1.1538461538461535,0.8955242488523072,0.255,0.95,0.9175,0.9984145920758858,0.02304564947070709
1013,graph_1013,20,4.204692619390966,1,-1.559531081637799,0.3526315789473684,1.791759469228055,0.7,-0.79785951,0.5582545737596816,(0.5947621570580738+0j),(0.22661368810985286+0j),(-0.2385159454363861+0j),1,2,0.6931471805599453,3,2.9200439296550473,0.38873239436619716,1.1538461538461535,0.8955242488523072,0.255,0.95,0.9175,0.9992145904135813,0.019725795144181105
1014,graph_1014,20,4.204692619390966,1,-1.559531081637799,0.3526315789473684,1.791759469228055,0.7,-0.79785951,0.5582545737596813,(0.5947621570580737+0j),(0.22661368810985286+0j),(-0.23851594543638355+0j),1,2,0.6931471805599453,3,2.9200439296550473,0.38873239436619716,1.1538461538461535,0.8955242488524994,0.325,0.95,0.89,0.9999479222229207,0.0015803447791527397
1015,graph_1015,20,4.204692619390966,1,-1.559531081637799,0.3526315789473684,1.791759469228055,0.7,-0.79785951,0.5582545737596816,(0.5947621570580738+0j),(0.22661368810985286+0j),(-0.2385159454363861+0j),1,2,0.6931471805599453,3,2.9200439296550473,0.38873239436619716,1.1538461538461535,0.8955242488523072,0.255,0.95,0.9175,0.9992145904135813,0.020566860288461476
1016,graph_1016,20,4.204692619390966,1,-1.559531081637799,0.3526315789473684,1.791759469228055,0.7,-0.79785951,0.5582545737596816,(0.5947621570580738+0j),(0.22661368810985286+0j),(-0.2385159454363861+0j),1,2,0.6931471805599453,3,2.9200439296550473,0.38873239436619716,1.1538461538461535,0.8955242488523072,0.255,0.95,0.9175,0.9974979273139432,0.03051177401148132
1017,graph_1017,20,4.204692619390966,1,-1.559531081637799,0.3526315789473684,1.791759469228055,0.65,-0.72929426,0.40974829672750723,(0.5672449476824396+0j),(0.3028074484122925+0j),(-0.34435285496725826+0j),1,2,0.6931471805599453,3,2.928045058077143,0.409288824383164,1.0363636363636364,0.850898236539052,0.265,0.9375,0.8075,0.9880164941424571,0.033985903094020255
1018,graph_1018,20,4.219507705176107,1,-1.5560138098522975,0.35789473684210527,1.791759469228055,0.65,-0.72020716,0.3879101264204283,(0.5625360285347876+0j),(0.31277053136275046+0j),(-0.36105163877686264+0j),1,2,0.6931471805599453,3,2.9283230444075894,0.42,1.0363636363636364,0.8424552900173676,0.28,0.935,0.81,0.9763129387947029,0.05141993542132596
1019,graph_1019,20,4.060443010546419,1,-1.5944401899949237,0.30526315789473685,1.6094379124341003,0.6,-0.68140092,0.2694056974370138,(0.5600811575320266+0j),(0.3929935869059+0j),(-0.37524155955082555+0j),2,2,0.0,3,2.9413851467527055,0.37640449438202245,1.0208333333333333,0.8452723953444449,0.25,0.925,0.8725,0.9736098348580571,0.055868748698094516
1020,graph_1020,20,5.099866427824199,1,-1.3665179247893973,0.8631578947368421,2.772588722239781,0.2,-0.31286971,0.1820710034229136,(0.2823926551848271+0j),(0.13473051697250013+0j),(-0.1457833064931015+0j),1,2,0.6931471805599453,3,2.9000212464711295,0.8994285714285715,1.0103092783505154,0.5990856728029679,0.2825,0.8975,0.8575,0.9633481069247644,0.12232794762857971
1021,graph_1021,20,5.099866427824199,1,-1.3665179247893973,0.8631578947368421,2.772588722239781,0.2,-0.31286971,0.1820710034229136,(0.2823926551848271+0j),(0.13473051697250013+0j),(-0.1457833064931015+0j),1,2,0.6931471805599453,3,2.9000212464711295,0.8994285714285715,1.0103092783505154,0.5990856728029679,0.2825,0.8975,0.8575,0.9524371710392996,0.13822088386874584
1022,graph_1022,20,5.099866427824199,1,-1.3665179247893973,0.8631578947368421,2.772588722239781,0.2,-0.31286971,0.1820710034229136,(0.2823926551848271+0j),(0.13473051697250013+0j),(-0.1457833064931015+0j),1,2,0.6931471805599453,3,2.9000212464711295,0.8994285714285715,1.0103092783505154,0.5990856728029679,0.2825,0.8975,0.8575,0.9550224114449974,0.13512931336435482
