Unnamed: 0,GRAPH_IDX,NUM_NODES,LOG_NUM_EDGES,IS_CONNECTED,LOGRATIO_EDGETONODES,DENSITY,LOG_CHROMATIC_NUM,NORM_MIS,GRAPH_ASSORTATIVITY,SPECTRAL_GAP,LOG_LARGESTEIGVAL,LOG_SECONDLARGESTEIGVAL,LOG_SMALLESTEIGVAL,MIN_ECC,MAX_ECC,LOGRATIO_MAXMINECC,GIRTH,TRANSITIVITY,CALCULATED_RATIO,percent_cut,percent_positive_lower_triangular,percent_close1_lower_triangular,percent_close3_lower_triangular,expected_costGW_over_sdp_cost,std_costGW_over_sdp_cost
348,graph_348,20,5.170483995038151,1,-1.352765973353825,0.9263157894736842,2.833213344056216,0.15,-0.24929552,0.1558155744293865,(0.23019471243658599+0j),(0.09806050730647903+0j),(-0.09868514479700452+0j),1,2,0.6931471805599453,3,0.9396493594066082,0.96,0.5681818013328713,0.245,0.845,0.785,0.9515000282159212,0.0578320862355799
349,graph_349,20,5.170483995038151,1,-1.352765973353825,0.9263157894736842,2.833213344056216,0.15,-0.24929552,0.1558155744293865,(0.23019471243658599+0j),(0.09806050730647903+0j),(-0.09868514479700452+0j),1,2,0.6931471805599453,3,0.9396493594066082,0.96,0.5681818013328713,0.245,0.845,0.785,0.9467200280741742,0.0667086341032731
350,graph_350,20,5.147494476813453,1,-1.3572221866190326,0.9052631578947368,2.772588722239781,0.2,-0.2798876,0.167717583609481,(0.25352300164001135+0j),(0.11407789962906674+0j),(-0.11120056896534318+0j),1,2,0.6931471805599453,3,0.9238061797752808,0.96,0.5813955556603138,0.2825,0.87,0.7925,0.9551096602333584,0.0679616407531917
351,graph_351,20,5.147494476813453,1,-1.3572221866190326,0.9052631578947368,2.772588722239781,0.2,-0.2798876,0.167717583609481,(0.25352300164001135+0j),(0.11407789962906674+0j),(-0.11120056896534318+0j),1,2,0.6931471805599453,3,0.9238061797752808,0.96,0.5813955556603138,0.2825,0.87,0.7925,0.9486496625314106,0.0728839743744149
352,graph_352,20,5.147494476813453,1,-1.3572221866190326,0.9052631578947368,2.772588722239781,0.2,-0.2798876,0.167717583609481,(0.25352300164001135+0j),(0.11407789962906674+0j),(-0.11120056896534318+0j),1,2,0.6931471805599453,3,0.9238061797752808,0.96,0.5813955556603138,0.2825,0.87,0.7925,0.946649663242882,0.0778567478597176
353,graph_353,20,5.147494476813453,1,-1.3572221866190326,0.9052631578947368,2.772588722239781,0.2,-0.2798876,0.167717583609481,(0.25352300164001135+0j),(0.11407789962906674+0j),(-0.11120056896534318+0j),1,2,0.6931471805599453,3,0.9238061797752808,0.96,0.5813955556603138,0.2825,0.87,0.7925,0.9482796626630328,0.0737688127075864
354,graph_354,20,5.147494476813453,1,-1.3572221866190326,0.9052631578947368,2.772588722239781,0.2,-0.2798876,0.167717583609481,(0.25352300164001135+0j),(0.11407789962906674+0j),(-0.11120056896534318+0j),1,2,0.6931471805599453,3,0.9238061797752808,0.96,0.5813955556603138,0.2825,0.87,0.7925,0.949539662214806,0.0731476902793997
355,graph_355,20,5.147494476813453,1,-1.3572221866190326,0.9052631578947368,2.772588722239781,0.2,-0.2798876,0.167717583609481,(0.25352300164001135+0j),(0.11407789962906674+0j),(-0.11120056896534318+0j),1,2,0.6931471805599453,3,0.9238061797752808,0.96,0.5813955556603138,0.2825,0.87,0.7925,0.9492196623286412,0.0727529232003047
356,graph_356,20,5.147494476813453,1,-1.3572221866190326,0.9052631578947368,2.772588722239781,0.2,-0.2798876,0.167717583609481,(0.25352300164001135+0j),(0.11407789962906674+0j),(-0.11120056896534318+0j),1,2,0.6931471805599453,3,0.9238061797752808,0.96,0.5813955556603138,0.2825,0.87,0.7925,0.9517596614250728,0.068411249588371
357,graph_357,20,5.147494476813453,1,-1.3572221866190326,0.9052631578947368,2.772588722239781,0.2,-0.2798876,0.167717583609481,(0.25352300164001135+0j),(0.11407789962906674+0j),(-0.11120056896534318+0j),1,2,0.6931471805599453,3,0.9238061797752808,0.96,0.5813955556603138,0.2825,0.87,0.7925,0.955069660247588,0.0628569191814327
358,graph_358,20,5.147494476813453,1,-1.3572221866190326,0.9052631578947368,2.772588722239781,0.2,-0.2798876,0.167717583609481,(0.25352300164001135+0j),(0.11407789962906674+0j),(-0.11120056896534318+0j),1,2,0.6931471805599453,3,0.9238061797752808,0.96,0.5813955556603138,0.2825,0.87,0.7925,0.9534196608345518,0.0652280658375008
359,graph_359,20,5.147494476813453,1,-1.3572221866190326,0.9052631578947368,2.772588722239781,0.2,-0.2798876,0.167717583609481,(0.25352300164001135+0j),(0.11407789962906674+0j),(-0.11120056896534318+0j),1,2,0.6931471805599453,3,0.9238061797752808,0.96,0.5813955556603138,0.2825,0.87,0.7925,0.9490696623820016,0.0705480797682216
360,graph_360,20,5.147494476813453,1,-1.3572221866190326,0.9052631578947368,2.772588722239781,0.2,-0.2798876,0.167717583609481,(0.25352300164001135+0j),(0.11407789962906674+0j),(-0.11120056896534318+0j),1,2,0.6931471805599453,3,0.9238061797752808,0.96,0.5813955556603138,0.2825,0.87,0.7925,0.9569796595681328,0.0655917413936571
361,graph_361,20,5.153291594497779,1,-1.3560966184815668,0.9105263157894736,2.772588722239781,0.2,-0.27448431,0.1653160847358379,(0.24934822130979117+0j),(0.11142750798673946+0j),(-0.09580606713594919+0j),1,2,0.6931471805599453,3,0.927007299270073,0.96,0.5780346890293081,0.235,0.8625,0.8,0.9520799885553292,0.0701403841002038
362,graph_362,20,5.153291594497779,1,-1.3560966184815668,0.9105263157894736,2.772588722239781,0.2,-0.27448431,0.1653160847358379,(0.24934822130979117+0j),(0.11142750798673946+0j),(-0.09580606713594919+0j),1,2,0.6931471805599453,3,0.927007299270073,0.96,0.5780346890293081,0.235,0.8625,0.8,0.9504699885746823,0.072592554530816
363,graph_363,20,5.153291594497779,1,-1.3560966184815668,0.9105263157894736,2.772588722239781,0.2,-0.27448431,0.1653160847358379,(0.24934822130979117+0j),(0.11142750798673946+0j),(-0.09580606713594919+0j),1,2,0.6931471805599453,3,0.927007299270073,0.96,0.5780346890293081,0.235,0.8625,0.8,0.9546799885240752,0.0675166460245716
