Unnamed: 0,GRAPH_IDX,NUM_NODES,LOG_NUM_EDGES,IS_CONNECTED,LOGRATIO_EDGETONODES,DENSITY,LOG_CHROMATIC_NUM,NORM_MIS,GRAPH_ASSORTATIVITY,SPECTRAL_GAP,LOG_LARGESTEIGVAL,LOG_SECONDLARGESTEIGVAL,LOG_SMALLESTEIGVAL,MIN_ECC,MAX_ECC,LOGRATIO_MAXMINECC,GIRTH,TRANSITIVITY,CALCULATED_RATIO,percent_cut,percent_positive_lower_triangular,percent_close1_lower_triangular,percent_close3_lower_triangular,expected_costGW_over_sdp_cost,std_costGW_over_sdp_cost
782,graph_782,100,7.973155433444133,1,-2.5290898576816967,0.5862626262626263,3.784189633918261,0.57,-0.60185925,0.4761562434813717,(0.4742555336548247+0j),(0.12280267133120643+0j),(-0.1909370551092389+0j),1,2,0.6931471805599453,3,0.6723537370577567,1.154649947753396,0.7615434404601611,0.2228,0.9899,0.9864,0.9983094724898836,0.0269666434791418
783,graph_783,100,8.209308411646937,1,-2.4999015033865404,0.7424242424242424,4.219507705176107,0.32,-0.41517226,0.2763167084041755,(0.348448786795422+0j),(0.13151171597257522+0j),(-0.2805808923229322+0j),1,2,0.6931471805599453,3,0.8306426396215129,1.1536936043629151,0.6331973656600438,0.248,0.9897,0.9827,0.9994369064799544,0.0098349878017431
784,graph_784,100,7.930925372483388,1,-2.534400464528533,0.562020202020202,3.737669618283368,0.59,-0.59327227,0.4321524752195496,(0.46973751167612215+0j),(0.15479772186659535+0j),(-0.20122496068776058+0j),1,2,0.6931471805599453,3,0.672788511400802,1.150437636761488,0.755930896510864,0.2643,0.99,0.9899,0.999574534380481,0.0108562033436472
785,graph_785,100,8.204124932574041,1,-2.50053311764256,0.7385858585858586,4.204692619390966,0.32,-0.41681397,0.2799685994203242,(0.3500465198652637+0j),(0.1302955076384338+0j),(-0.2994767579551194+0j),1,2,0.6931471805599453,3,0.8318413446391145,1.1482587064676617,0.6312910685744149,0.2535,0.99,0.9897,0.999982172138022,0.0005614754459393
786,graph_786,100,8.087332926473351,1,-2.5148711846157736,0.6571717171717172,3.970291913552122,0.47,-0.52048983,0.3763439733272358,(0.4207068429674407+0j),(0.13688280198171532+0j),(-0.24011953112940526+0j),1,2,0.6931471805599453,3,0.7434232849439727,1.1457915831663326,0.703366226958343,0.2424,0.9897,0.9776,0.9928575276355374,0.0563696605984795
787,graph_787,100,7.194436851100335,1,-2.631862118190734,0.2690909090909091,3.555348061489413,0.66,-0.64176584,0.3312301080320519,(0.5162854377837067+0j),(0.2960676663089775+0j),(-0.625341047898433+0j),1,2,0.6931471805599453,3,0.5518586507572281,1.1456200227531286,0.7560056990518544,0.2407,0.99,0.9895,0.9988017958024116,0.0191262422701752
788,graph_788,100,7.853993087224244,1,-2.5441481099925483,0.5204040404040404,3.713572066704308,0.59,-0.59021201,0.3392630062744308,(0.4681231885480371+0j),(0.2293093959117958+0j),(-0.2986135436894894+0j),1,2,0.6931471805599453,3,0.6718598195697433,1.1449704142011834,0.7511645762082152,0.2472,0.99,0.99,1.0000000267119582,0.0
789,graph_789,100,7.950149887652018,1,-2.531979403706875,0.572929292929293,3.784189633918261,0.55,-0.59621434,0.4443074529743602,(0.47125378657860606+0j),(0.146430138365003+0j),(-0.19883178444202362+0j),1,2,0.6931471805599453,3,0.6724869939604138,1.144456289978678,0.7571407655280602,0.2341,0.99,0.9767,0.9921992308345308,0.0632911411016746
790,graph_790,100,7.970394907191429,1,-2.529436145205029,0.5846464646464646,3.737669618283368,0.57,-0.61381432,0.4973498137519665,(0.4811696481223874+0j),(0.11387847407323208+0j),(-0.14548133076836356+0j),1,2,0.6931471805599453,3,0.6680708597119883,1.1440329218106997,0.7684864510729604,0.2544,0.99,0.99,1.000000094691939,0.0
791,graph_791,100,8.20685642839965,1,-2.5002002312915548,0.7406060606060606,4.127134385045092,0.38,-0.42196419,0.2675998058381448,(0.35272621817157446+0j),(0.1443961519339718+0j),(-0.2584850217060019+0j),1,2,0.6931471805599453,3,0.8232495272682591,1.1433447098976108,0.6396617645301684,0.2703,0.9899,0.9839,0.999307450427431,0.0215653003978846
792,graph_792,100,8.192016914536875,1,-2.502010052930269,0.7296969696969697,4.204692619390966,0.33,-0.4250086,0.2828937477284416,(0.35581418233661766+0j),(0.13492290569221063+0j),(-0.3163580117154123+0j),1,2,0.6931471805599453,3,0.8281603762066067,1.14321608040201,0.6310429536421218,0.2534,0.9894,0.9769,0.9742190810158212,0.102406573832377
793,graph_793,100,7.912423121473705,1,-2.53673611465047,0.5517171717171717,3.6635616461296463,0.62,-0.61471733,0.4393419946476284,(0.48313593555100465+0j),(0.1670456954550257+0j),(-0.20206510685516418+0j),1,2,0.6931471805599453,3,0.6542368603697394,1.1427015250544663,0.768216770764788,0.2615,0.99,0.99,0.999992849876726,0.0002259792271981
794,graph_794,100,7.822845290279774,1,-2.548121849745589,0.5044444444444445,3.688879454113936,0.6,-0.58709701,0.2898813621261074,(0.46567640366868956+0j),(0.2648304787608461+0j),(-0.363359803767868+0j),1,2,0.6931471805599453,3,0.6765506826218014,1.1424186617556784,0.7452941894813161,0.2519,0.99,0.9891,0.9993494941424956,0.0141543048896642
795,graph_795,100,8.054204897064407,1,-2.5189758834721494,0.6357575757575757,3.912023005428146,0.51,-0.55281963,0.4195664118111353,(0.4425536787646033+0j),(0.12849082590548852+0j),(-0.22470211644590302+0j),1,2,0.6931471805599453,3,0.7181272940391344,1.1383773021403685,0.7267235848959193,0.2598,0.9899,0.9799,0.9981407418887166,0.0329844041617482
796,graph_796,100,8.05579245097777,1,-2.5187787941884947,0.6367676767676768,3.9889840465642745,0.45,-0.5287752,0.3950282237685709,(0.4261143356772047+0j),(0.1277488762714886+0j),(-0.2818783135100596+0j),1,2,0.6931471805599453,3,0.7337449742760168,1.136965376782077,0.7085179273466049,0.261,0.99,0.9743,0.9943004520291308,0.0543976757270659
797,graph_797,100,8.028129059431759,1,-2.5222186790208183,0.6193939393939394,3.9318256327243257,0.5,-0.56198764,0.4603780120945688,(0.4485729409326241+0j),(0.10047653431283869+0j),(-0.2852974533013888+0j),1,2,0.6931471805599453,3,0.7092378978824073,1.1367995961635535,0.734507447428964,0.2637,0.99,0.9897,0.9995897718093356,0.008596971186028
