Run Index,Point,Objective Value
6,"[-2.327421923419572, 1.299295751771305, -0.129396592852078, -1.07132950627102, 4.134488976022918, -0.7634091300932929, 0.9920129947385182, 4.102486226485658, -1.7495702379915352, 2.352278668332211, -1.0351167278300155, -1.1674762422094989, 2.7967537203828146, -0.13008993220730636, 3.757412725299166, -1.3096008056172708, 0.5771296215155938, -2.173354522706097, 0.9567925149985872, -2.749726297768228, 3.2376191525538647, 1.243616123245207, 3.2284618160675103, -3.276176082967278, 0.7906257341789052, -0.3643268512988924, -0.20183982329860636, 2.9742108362868436, 1.2544517163331665, 1.2211893721679838, -0.3889330479365565, -0.14958103284615032, 1.9887737150910407, 4.402327572051056, 2.8637147662762388, -0.2365863368411576, -2.1802145952843093, -2.535772518164985, 3.9320904873422227, -0.6772537236577798, -4.235676262304575, 2.17254612323781, -1.7830576230593067, -0.37715718347562255, -2.7045592234023648, 2.679352195468807, -1.5454924361539377, 1.437892441206721, -4.0003403911174775, -0.6345569095780463, -2.402268810274757, -0.9612315093333897, 0.05054551676973429, 0.6638377677698422, 0.5282726219229854, 1.2831476797140002, 0.37254996982117206, -2.82000245283746, 1.2885675801373788, -3.427103698131011, -1.0133468078074057, 2.363462527086222, -3.261598827472064, 3.155829263863544]",1.0476190476190477
6,"[-2.7146667712188037, 0.6812413609380374, -0.3813241648536002, -0.5908819123134783, 3.1869265841860663, -1.5184360068133076, 0.06882407055607809, 4.44559416718663, -2.2454199502205965, 2.1240051355689857, -1.5992168200006494, -1.9770731214508233, 3.1025685631724658, -0.5084131236830131, 3.506623539047674, -2.4128812593562934, 0.7069131001545468, -2.784262529200168, 0.3498854952081211, -2.5074900125483945, 1.781577166842125, 0.12925516624794742, 2.0701670992824766, -0.7148763958099675, 0.35605033932994024, 0.031357766537058795, 0.03525897579715276, 1.4842526122725848, 1.3650006473120908, 1.5379459365048551, -2.084650844025072, 0.30140403338042476, 0.0938960319990183, 3.473112516667724, 3.0868075944995432, -0.5429280485909277, -2.151340273603543, -0.718810288067368, 4.411658148239152, -0.3877685045547097, -3.2586007404539616, 2.4307206303083673, -2.882741086986983, 0.9042537118307726, -2.159196023398203, 2.4614426918466825, 0.4955547068067395, 2.148582960377937, -4.222822308147782, -2.5735671343031887, -1.1465001934605832, -0.13228482251373436, 1.1485291969162976, -1.2994562889357208, 1.0227971651583898, 1.6347181949553677, 1.3214310958504853, -3.9044371420951087, 0.7102383963854104, -1.5347018125888021, -2.107246678605011, 1.8721398956546316, -2.791116160247304, 3.2232129178924147]",1.037037037037037
6,"[-3.819220733614508, 3.5070030836916013, -0.4423698525806191, -0.9753315027350666, 3.6682889712803672, -1.6436640291935283, -0.8295884200985956, 4.6166475966653415, -3.5579707321486245, 0.056666267258698166, -0.48349046017720354, -3.2134626047706663, 2.9171961226252012, -2.774631681595083, 3.812124283344585, -2.474365234321071, 0.5625293333736354, -1.7104323595952362, 1.8905825423474616, -2.5108647663338095, -0.37696792242218935, 0.45993927844203286, 3.1973167883178957, -0.6001833959266225, -0.46976574071103405, -1.321015304948221, 0.01789011178694376, 1.7511881907595495, 1.1927328394829357, 2.330616565176722, -1.80725927515859, -0.8690104239817541, 2.857589375444542, 4.1137561833695715, 3.0449682165095604, 0.7872374992149571, -0.8643285592217196, -2.9191727443687823, 3.5122140463998157, -1.2220176032423296, -4.07217413233957, 2.285051439669175, -2.3928099081693337, 0.7953728086644732, -0.163709699628519, 2.3851805908358505, -1.8928161516561142, 1.5588977526869139, -2.883644884659273, -2.8522391778560023, -1.825923945415155, -0.3503249052759536, 1.4541178221650126, -0.2285344045569405, -0.48213177611354674, 2.599978686727337, 2.658105349541013, -3.7820367351986155, 0.0030206846319609237, -3.599028769785035, -0.45238864044765437, 3.6580358774558692, -3.5101359450565246, 2.7971324447546047]",1.032258064516129
6,"[-4.0144435491840875, 0.6143730020021216, -0.19438185477813175, 0.5353386260063098, 2.109950939337402, -1.0683038588854306, 0.043579830529021035, 4.49078417591846, -3.070938535380157, 1.1817301372717162, -1.5930607109001045, -0.53069307151837, 3.2945253582569234, -0.5168315419441327, 1.7036253728945792, -3.0887722287278954, 0.41890736735338874, -1.1390890142408865, -0.47937860764184115, -2.4680227540466864, 2.670660151737266, -0.03860760524556195, 2.001020749535984, -0.6684579571441104, -1.1250160770750846, -0.9751022555648747, 0.06918117253877758, 2.9599950404697455, 1.3164602163868984, 1.54465335385058, -1.270887941867278, -0.1735390346007606, 1.546147127414261, 4.022062258171049, 2.331408311639847, 0.8419363962765825, -2.897359899408646, -0.76945080394521, 4.3178615246083645, -2.7400865831359607, -3.5490723764346526, 1.0312269400887062, -1.2351228564624395, 0.34897698844002034, -2.1182317136280995, 2.9722430199193313, -0.10209397173429946, 0.9245956309718325, -2.8042825622055387, -2.212411876212126, -2.4988993719079398, -1.1900330709807836, 1.3212757228609757, 0.9411077912425438, 1.4551998354128328, 2.054231665265308, 1.3342906466433686, -2.4826793819448683, 1.3822169745941044, -3.7858580153793127, -2.718168510505019, 2.7479766071992437, -3.7077876586484013, 3.2058991956824268]",1.03125
6,"[-3.4797199449244873, 0.8029300720691516, -0.13588516380558716, 0.4835018711176624, 2.5455182521514788, 0.5626926480203436, 0.3647502696734275, 3.8562320003385326, -3.8059625729030646, 2.1070974771344044, -1.0562678111451438, -1.6593019740101722, 3.435374679502267, -3.1374905084651674, 3.4041856995144246, -1.2914294764204053, 0.7284959219092341, -2.310282812858217, 0.7428565387832247, -2.187112799472292, 1.3291418097448182, 2.1180207253381473, 2.633355378503605, -0.6825784770491853, 1.6985965808446566, -1.5376709394463686, 0.07306203233117033, 4.066852179367027, 3.6008068737618393, 3.206851475556298, -2.275369533875371, -0.5658817422073753, 1.4832056825613684, 4.262212216670884, 2.9209360656791405, 0.9078787417498597, -1.5545176883661749, -3.179952244219085, 4.307586624325403, -1.7921908120438477, -4.128970487105967, 2.3750819271012453, -2.882737515769525, -0.025091569186615342, -1.2314732419511358, 1.704556856908942, -1.3487105093232703, 1.2250685781832555, -4.268033683262712, -3.019751429931177, -1.52932769035161, 0.07169100218034119, 0.08024976862876054, 0.4397656592235535, 0.5134987679921714, 2.080203577044991, 0.7565966768156855, -2.813483011290643, 0.19150210761894715, -3.280480542138174, -1.000391225982023, 3.6327072993084557, -3.1336405300233032, 2.4868213618075767]",1.03125
6,"[-3.298108578777926, 0.355511066894066, 2.6803684062848494, -1.1608019937213598, 3.406110075728154, -1.4697324303420625, -0.16618465973661636, 2.9446039834647806, -2.79054016224779, 1.0146987200547766, 1.1233639527123374, -1.1140635825491598, 1.1090513888365625, -1.5972819969647507, 3.8164456059333096, -2.184928751795848, 0.3804337359313875, -0.8448033330412197, 0.3881146133840292, 2.282624935128632, 1.9464180366838992, -0.040358556669446655, 1.3234665856437573, -1.9894025948329972, 0.3462716271025456, -2.7555530398508337, -0.0778690060129632, 4.19893104081122, 0.9440454119260803, 1.1830156089480228, -1.751231397557874, 1.8246736351791732, 2.3432827586940137, 4.202075579782121, 3.6164117715558866, 0.85675576980124, -2.1336000744355648, -1.8474319259137686, 1.639129126068534, -1.50182522706656, -3.9352615303365566, 1.3078242034601342, -1.8308849642109803, -2.4348746542692234, -0.2380498400051374, 1.7038367549511246, 1.0044782694095702, -0.1683330878395622, -3.831069997825578, -1.522410303280432, -2.1664880547731173, -1.3293990859721045, -0.4477135948121856, 2.55482432096999, -0.6337865531061678, 2.898727645057127, 1.376954693050662, -3.8979049386101456, 0.7630408841305211, -0.9730843716112363, -1.2972199734866092, 2.5219708548751822, -2.985472680366994, -0.07794292109833645]",1.0303030303030303
6,"[-3.9760997868147894, 1.4683827383407069, 0.037788628881663094, -0.5067564393382761, 2.815651297063468, -1.3877932625217888, 1.0994249783162746, 4.190845661244093, -2.9107390521328167, 1.732343159947737, 0.05387331255252781, -1.357788172759729, 2.539899827909543, -1.0598880567316877, 3.5319832727721123, -1.488261162057821, 0.7017672597350528, -2.2811040036989136, 1.2162742083196523, -2.1561391588742964, 2.567332429412126, 2.2410301796108643, 3.1516180060712045, -0.4381932364469935, -0.2602630180575313, -1.677782382170658, 0.08996491543701216, 2.7236098552641197, 2.3846890225161372, 1.1767728122064618, -1.6079383497936406, -1.0258562896403949, 2.2996477479453836, 3.2235074965861683, 3.5977360118589603, -0.2501732222930292, -2.5076362722229932, -1.76299274783808, 4.430032740762913, -3.1206148481165465, -3.5963449505165324, 0.3355005831426928, -1.7526696693712187, 0.9431543713993258, -1.2352994780317368, 1.6291747211792729, -1.0434003315025018, 0.47351003690551496, -4.118054965128112, -2.519509622764601, -1.6570776161036334, -0.1982775855387982, 2.6185849271978885, 0.3759561080266771, 0.7903518280916083, 1.9482284851973295, 1.9766912731876536, -3.912001372020781, 1.6656680632379486, -3.321630062870193, -2.5811616476699584, 2.4249491600072988, -3.4021201700449506, 3.169744191333873]",1.0294117647058822
6,"[-3.3377830367884647, 1.694826205045381, 0.7396729165994101, -0.619061925540423, 2.004045324190074, -2.4707458274534417, 0.6717396492943342, 4.633362777929177, -3.768991300433606, 1.518268023423047, -0.6711381590497134, -1.5524629279121234, 3.4615005767524405, -1.0833898620315094, 2.528759299367591, -2.0667504502930054, 0.658450743921575, -0.9265007536612457, 0.12017519658294562, -1.5781456163144016, 2.0859664417874235, 0.8534214021600388, 2.2937458562996165, -1.7624261110967445, -0.6763999446589967, -2.206307832391155, 0.12636465580790918, 2.7399908091141008, 1.7103459015361306, 0.7527566957100738, -1.8644939094784587, -1.1023568191833064, 2.0995770956393334, 4.080860593934341, 3.614493840818664, 0.42232861396600474, -1.679714276040949, -1.1044158043634544, 4.408820399050687, -1.908497284104457, -3.0668081131770184, 1.0718592402075715, -1.5465392323787928, 0.45801335442096036, -3.186153187670736, 3.0504377206802475, 0.15065996993880726, 0.9004029228589095, -4.28941303840282, -1.6656030194007296, -1.1887333147924206, -0.052812505937446796, 2.074547032150887, -0.9614187567851342, 2.1206489385698686, 1.5773242422680163, 1.970533137294062, -3.78505635975326, 1.2906368338706755, -2.7790761672058433, -1.789669829308183, 3.398219519697834, -3.326283779988534, 2.915715578868836]",1.0294117647058822
6,"[-2.790702564452404, 1.5976472834111863, -0.17239468094825958, -1.7803979540078845, 2.5460340760465803, -1.382210956254258, 0.15680237316353654, 4.153723464796838, -2.6541567022399546, 1.3004783305846614, -0.8580149154537282, -1.7312251072158205, 3.4747986479505406, -1.0010145949864835, 2.9135344927649944, -1.8191078778499443, 0.40821565260216663, -2.5686013819862263, 0.15532165439175416, -2.6102481769959884, 0.849573421748278, 1.348059434518377, 3.2755332399087664, -1.3625672216189448, -0.74497972774936, -1.2737638962183937, 0.04359745785728242, 1.5452004046197887, 2.106099138603842, 2.2027554166668164, -0.43989051070808083, -0.7200799305500603, 2.365634963538798, 4.4194646386101075, 3.6196061245300264, 0.5859462465687428, -2.3803160554182914, -0.9932637056670047, 4.4189335388845254, -2.2221817465618448, -3.7168769869563394, 0.9530548122615234, -1.910740226537379, 0.4020387009991968, -2.7621227588299293, 1.9551623567535565, 0.12143201582912944, 0.8695183839121474, -3.794828289563922, -2.5342192424622487, -1.5845574058145901, -0.5887897782437526, 1.9490515626779672, 0.48634138074422817, 0.7923189895365363, 1.6728876177773324, 1.0101361851395563, -2.4770061724873185, 1.2934983884486586, -3.535904261185803, -1.7051364534422166, 2.890564393915231, -2.9688903259030424, 3.1332220799519983]",1.0294117647058822
6,"[-3.350913762162137, 3.29294736545649, -0.18305263531718363, -1.8881574703118673, 2.5427107695948044, -2.626418903351569, -1.4657591613309229, 4.616050292128977, -1.9153845029111447, -1.2762803307093356, 0.564464070116665, -2.3820559817000087, 2.871858740742826, -1.6475285298865785, 1.0321187526860656, -2.099167924127743, 0.7078349878560243, -4.127630930866468, 1.304703945857237, -1.957711141987689, 3.316740352506068, -0.3069385029915683, 3.008224570954831, -0.29009940479127616, 2.600875060009958, 0.2894979951533737, 0.09775246237415758, 2.089542808684618, 1.1077042974664149, 2.3626210283671387, -1.2954208133098937, -2.734169619810468, 3.2837995869836147, 0.2625817849843164, 2.0840817952201136, -0.5258188687059797, -3.1496080919760177, -3.1137405388465944, 3.46164733893045, -1.0596318033373433, -3.3985903011504863, -0.008301129967102527, -2.0945373942171126, 0.2997076925547424, -0.8473350777647988, 1.8252281365046623, -1.4383463685593076, -1.2853194716858698, -4.016224993356261, -3.412957872418386, -0.5963418205050416, -1.1522058443326983, 0.8070676274256603, 0.5670049185127211, 2.0147103071963337, 3.099361187816452, 3.514336071385062, -3.8936576151916285, -0.0763605573078281, -3.359126854585975, -3.543136580045847, 1.2309079115565105, -2.0415972414459747, -0.19368521609718936]",1.0277777777777777
